DATE,CUURA320SEHA
2017-01-01,294.4423333333333333
2017-04-01,296.7196666666666667
2017-07-01,300.4810000000000000
2017-10-01,302.8460000000000000
2018-01-01,304.3886666666666667
2018-04-01,307.4036666666666667
2018-07-01,309.5940000000000000
2018-10-01,313.0006666666666667
2019-01-01,318.6673333333333333
2019-04-01,321.8843333333333333
2019-07-01,322.4590000000000000
2019-10-01,322.6920000000000000
2020-01-01,323.6053333333333333
2020-04-01,325.2843333333333333
2020-07-01,327.6163333333333333
2020-10-01,330.2096666666666667
2021-01-01,330.4473333333333333
2021-04-01,331.5336666666666667
2021-07-01,335.0926666666666667
2021-10-01,341.2963333333333333
2022-01-01,352.3723333333333333
2022-04-01,367.1486666666666667
2022-07-01,383.1553333333333333
2022-10-01,400.9163333333333333
2023-01-01,417.5616666666666667
2023-04-01,432.4503333333333333
2023-07-01,441.9210000000000000
