DATE,ACTLISCOU12086
2016-07-01,19334.0
2016-08-01,19301.0
2016-09-01,19313.0
2016-10-01,19631.0
2016-11-01,20062.0
2016-12-01,20329.0
2017-01-01,20308.0
2017-02-01,20814.0
2017-03-01,20859.0
2017-04-01,20692.0
2017-05-01,22478.0
2017-06-01,21272.0
2017-07-01,20169.0
2017-08-01,20507.0
2017-09-01,20203.0
2017-10-01,20447.0
2017-11-01,20772.0
2017-12-01,21002.0
2018-01-01,20814.0
2018-02-01,21435.0
2018-03-01,21461.0
2018-04-01,21296.0
2018-05-01,21039.0
2018-06-01,20809.0
2018-07-01,20756.0
2018-08-01,20795.0
2018-09-01,21024.0
2018-10-01,21851.0
2018-11-01,22365.0
2018-12-01,22662.0
2019-01-01,22690.0
2019-02-01,23258.0
2019-03-01,22934.0
2019-04-01,22442.0
2019-05-01,22124.0
2019-06-01,21592.0
2019-07-01,21183.0
2019-08-01,21066.0
2019-09-01,20877.0
2019-10-01,20895.0
2019-11-01,21225.0
2019-12-01,21096.0
2020-01-01,20464.0
2020-02-01,20609.0
2020-03-01,20504.0
2020-04-01,20052.0
2020-05-01,19748.0
2020-06-01,19282.0
2020-07-01,18609.0
2020-08-01,18117.0
2020-09-01,17915.0
2020-10-01,17750.0
2020-11-01,17516.0
2020-12-01,17262.0
2021-01-01,16052.0
2021-02-01,15099.0
2021-03-01,13611.0
2021-04-01,12407.0
2021-05-01,11434.0
2021-06-01,10845.0
2021-07-01,10962.0
2021-08-01,10947.0
2021-09-01,10748.0
2021-10-01,10353.0
2021-11-01,9808.0
2021-12-01,9063.0
2022-01-01,8254.0
2022-02-01,7145.0
2022-03-01,6548.0
2022-04-01,6376.0
2022-05-01,6951.0
2022-06-01,7887.0
2022-07-01,9379.0
2022-08-01,9825.0
2022-09-01,9814.0
2022-10-01,10196.0
2022-11-01,10841.0
2022-12-01,10966.0
2023-01-01,10675.0
2023-02-01,10369.0
2023-03-01,9884.0
2023-04-01,9394.0
2023-05-01,9240.0
2023-06-01,9065.0
2023-07-01,8915.0
2023-08-01,9059.0
2023-09-01,9735.0
