DATE,MEDLISPRIFL
2017-01-01,306475.0
2017-02-01,309950.0
2017-03-01,315000.0
2017-04-01,319900.0
2017-05-01,319900.0
2017-06-01,319900.0
2017-07-01,319900.0
2017-08-01,319250.0
2017-09-01,319000.0
2017-10-01,316985.0
2017-11-01,319000.0
2017-12-01,319800.0
2018-01-01,320000.0
2018-02-01,323900.0
2018-03-01,325000.0
2018-04-01,329000.0
2018-05-01,329000.0
2018-06-01,329000.0
2018-07-01,327748.0
2018-08-01,325000.0
2018-09-01,320000.0
2018-10-01,321450.0
2018-11-01,321679.0
2018-12-01,320000.0
2019-01-01,320000.0
2019-02-01,324900.0
2019-03-01,326714.0
2019-04-01,329000.0
2019-05-01,330000.0
2019-06-01,330000.0
2019-07-01,330000.0
2019-08-01,329727.0
2019-09-01,329318.0
2019-10-01,329418.0
2019-11-01,329995.0
2019-12-01,329995.0
2020-01-01,329995.0
2020-02-01,336193.0
2020-03-01,338000.0
2020-04-01,329450.0
2020-05-01,330000.0
2020-06-01,339000.0
2020-07-01,339950.0
2020-08-01,343000.0
2020-09-01,345000.0
2020-10-01,345000.0
2020-11-01,344945.0
2020-12-01,342250.0
2021-01-01,340000.0
2021-02-01,344950.0
2021-03-01,349950.0
2021-04-01,361809.0
2021-05-01,375000.0
2021-06-01,385000.0
2021-07-01,390000.0
2021-08-01,396500.0
2021-09-01,399450.0
2021-10-01,400000.0
2021-11-01,409995.0
2021-12-01,414950.0
2022-01-01,420000.0
2022-02-01,429500.0
2022-03-01,449450.0
2022-04-01,469000.0
2022-05-01,484243.0
2022-06-01,493452.0
2022-07-01,484900.0
2022-08-01,474500.0
2022-09-01,465000.0
2022-10-01,459900.0
2022-11-01,455000.0
2022-12-01,450000.0
2023-01-01,450000.0
2023-02-01,455500.0
2023-03-01,464000.0
2023-04-01,465000.0
2023-05-01,475000.0
2023-06-01,478500.0
2023-07-01,475000.0
2023-08-01,474950.0
2023-09-01,469000.0
